distance_km,time_of_day,traffic_level,weather,fuel_quantity,eta_minutes
11.26,Morning,Medium,Clear,3.5,20.9
1.61,Evening,Medium,Clear,6.7,14.0
3.59,Afternoon,Low,Clear,2.5,10.4
1.75,Morning,High,Clear,13.4,13.8
16.27,Night,Medium,Clear,9.7,40.2
8.54,Night,Low,Rainy,11.9,34.2
13.21,Night,Medium,Clear,5.1,32.1
22.78,Night,Medium,Clear,7.3,50.5
6.98,Morning,Low,Clear,13.9,23.1
10.85,Afternoon,High,Clear,19.4,35.8
19.13,Evening,High,Clear,2.9,46.7
6.49,Evening,Low,Clear,18.0,16.9
2.85,Morning,High,Clear,12.4,20.5
7.95,Evening,Low,Clear,12.2,21.0
4.87,Morning,Low,Clear,11.0,11.2
23.31,Morning,Low,Clear,3.2,32.9
20.39,Afternoon,High,Clear,3.6,46.3
16.2,Afternoon,Medium,Clear,12.8,39.5
21.92,Afternoon,Low,Rainy,8.1,46.7
20.29,Morning,Low,Clear,18.5,38.9
5.48,Night,Medium,Clear,9.3,22.3
22.42,Morning,Low,Clear,4.6,37.3
13.94,Morning,High,Clear,14.9,38.2
20.38,Night,Medium,Clear,7.3,41.9
22.51,Night,Medium,Clear,11.5,50.2
8.63,Night,High,Clear,14.6,33.3
3.64,Evening,Low,Clear,18.2,13.0
6.47,Evening,High,Clear,16.3,31.2
11.25,Afternoon,Medium,Clear,14.2,29.0
20.63,Morning,Medium,Clear,14.2,36.6
21.66,Afternoon,Low,Clear,19.0,43.4
1.17,Afternoon,High,Rainy,7.3,27.7
13.26,Morning,Low,Clear,2.0,18.4
11.02,Evening,Low,Clear,6.9,18.0
6.33,Afternoon,Low,Clear,5.9,12.8
3.88,Morning,Medium,Rainy,13.9,21.7
9.1,Morning,Medium,Clear,13.4,23.0
23.63,Evening,Medium,Clear,12.7,47.2
8.76,Morning,High,Clear,2.3,19.8
13.45,Night,Low,Clear,15.1,30.5
17.87,Afternoon,Medium,Clear,7.8,35.2
9.73,Afternoon,Low,Clear,14.0,22.7
24.32,Afternoon,High,Clear,12.0,52.0
24.1,Evening,Medium,Clear,8.2,52.6
7.04,Afternoon,Medium,Rainy,4.4,21.1
12.93,Evening,Medium,Clear,3.7,33.4
8.22,Afternoon,Low,Clear,17.0,18.8
7.84,Morning,Low,Clear,18.5,19.9
1.89,Night,Medium,Clear,13.7,19.2
15.63,Evening,Low,Rainy,3.9,40.0
13.06,Evening,Low,Clear,9.2,25.2
2.24,Night,Low,Clear,15.1,11.6
7.69,Night,Medium,Clear,16.0,32.6
22.8,Evening,Low,Clear,4.1,39.1
6.75,Evening,Low,Clear,2.0,15.4
4.48,Evening,Medium,Clear,14.8,23.9
12.75,Evening,Medium,Clear,8.4,27.5
24.66,Evening,Low,Clear,6.6,44.8
6.81,Evening,Low,Clear,2.2,13.1
17.13,Morning,Low,Rainy,11.7,36.8
19.28,Night,Low,Clear,17.3,41.3
6.7,Night,Low,Clear,19.2,18.3
18.48,Morning,Medium,Clear,12.2,34.0
9.83,Evening,Medium,Clear,11.3,31.2
16.18,Morning,Medium,Clear,3.5,33.0
16.2,Afternoon,Low,Clear,11.9,29.7
13.86,Evening,Medium,Clear,8.8,33.2
3.17,Morning,Low,Clear,12.9,7.7
21.05,Evening,High,Clear,9.0,54.3
8.7,Evening,Medium,Rainy,6.3,31.3
5.48,Afternoon,Low,Clear,3.7,12.0
1.98,Morning,Medium,Clear,7.7,13.7
15.18,Morning,Low,Clear,3.7,21.5
17.26,Evening,Medium,Clear,5.2,41.1
1.4,Night,Low,Clear,19.8,10.4
13.29,Evening,Low,Clear,10.0,31.8
6.44,Morning,High,Clear,11.6,24.0
16.48,Evening,Low,Clear,17.7,33.3
5.18,Afternoon,Medium,Clear,19.9,15.1
17.58,Evening,Low,Clear,12.5,32.8
10.28,Morning,Medium,Rainy,16.6,30.3
23.48,Evening,Medium,Clear,7.9,44.8
4.3,Afternoon,Medium,Clear,7.5,15.3
9.19,Night,Low,Clear,9.2,26.4
3.72,Afternoon,Low,Clear,14.1,12.4
23.19,Evening,Low,Clear,14.3,44.0
22.06,Night,Low,Clear,7.7,39.1
7.19,Morning,Medium,Clear,4.4,14.5
16.84,Night,High,Clear,13.4,53.7
20.61,Evening,High,Clear,4.3,46.0
14.32,Morning,Medium,Clear,12.4,35.2
13.71,Afternoon,Medium,Clear,14.5,31.2
6.8,Evening,Medium,Clear,14.6,23.6
3.23,Morning,Low,Clear,15.6,12.7
22.53,Afternoon,High,Rainy,17.7,64.9
22.61,Afternoon,Medium,Rainy,11.0,51.9
16.19,Evening,Medium,Clear,15.1,36.7
9.14,Morning,Low,Clear,13.1,17.5
9.38,Night,Low,Clear,5.4,23.7
18.42,Night,Low,Rainy,2.5,46.1
22.53,Night,High,Rainy,7.1,62.9
22.29,Evening,Medium,Clear,10.0,47.3
19.72,Morning,Low,Clear,13.1,38.4
16.41,Evening,High,Clear,17.3,46.9
3.02,Morning,Low,Clear,5.5,7.1
4.88,Morning,Low,Clear,4.3,5.0
22.57,Afternoon,Low,Rainy,19.3,41.8
15.55,Afternoon,Medium,Clear,3.9,32.7
1.22,Evening,High,Clear,10.6,20.7
3.44,Evening,Low,Rainy,12.5,19.4
16.92,Afternoon,High,Clear,11.7,43.6
1.12,Morning,Low,Clear,3.5,5.0
4.86,Night,High,Clear,3.0,30.6
14.17,Afternoon,Medium,Clear,3.9,29.7
17.61,Afternoon,Medium,Clear,12.5,34.9
16.65,Morning,Low,Clear,11.8,31.5
6.38,Evening,High,Clear,6.2,26.8
18.09,Evening,Medium,Clear,13.5,41.8
6.69,Morning,Low,Clear,16.8,13.6
8.81,Morning,Medium,Clear,2.7,17.1
18.92,Evening,Low,Clear,11.0,35.9
16.59,Evening,High,Clear,14.4,45.2
21.38,Morning,Low,Clear,6.5,35.5
16.78,Night,Medium,Clear,7.5,38.6
14.64,Morning,Medium,Clear,13.0,25.4
3.25,Afternoon,Low,Clear,18.2,11.0
9.83,Night,Low,Clear,16.6,29.1
7.36,Afternoon,Low,Clear,12.5,15.9
6.86,Evening,Low,Rainy,15.1,26.1
24.35,Afternoon,Low,Clear,8.6,44.1
10.43,Morning,Medium,Clear,13.5,22.6
22.41,Night,Low,Clear,10.4,39.1
16.15,Afternoon,Low,Clear,5.4,27.4
20.08,Night,Medium,Clear,14.6,45.0
13.06,Morning,Low,Clear,12.0,20.3
14.85,Morning,High,Clear,8.5,36.3
12.82,Morning,High,Clear,18.4,38.2
5.69,Evening,Medium,Clear,2.4,18.2
18.34,Afternoon,Medium,Clear,7.7,37.7
7.74,Night,High,Clear,3.0,37.0
1.58,Afternoon,Low,Rainy,15.8,16.1
16.49,Night,Low,Clear,14.6,37.0
5.25,Morning,Low,Clear,8.0,8.7
23.57,Night,Medium,Clear,14.2,49.1
23.89,Evening,Low,Clear,9.1,40.8
22.96,Evening,Medium,Clear,15.6,46.7
9.88,Evening,High,Clear,10.2,35.0
1.37,Evening,High,Clear,9.4,27.9
23.28,Evening,Medium,Clear,18.8,47.4
11.28,Morning,Low,Clear,6.5,17.6
24.2,Morning,Medium,Clear,4.2,42.4
24.13,Night,Medium,Rainy,12.5,61.1
21.47,Evening,Low,Clear,19.4,42.8
8.07,Evening,Low,Clear,8.8,22.6
10.24,Afternoon,High,Clear,3.1,23.0
21.43,Morning,Medium,Clear,8.1,32.4
8.61,Morning,Medium,Clear,11.1,19.8
5.07,Evening,High,Clear,4.9,28.4
14.36,Afternoon,Medium,Clear,13.8,28.0
23.47,Morning,Medium,Clear,20.0,37.2
17.7,Afternoon,Low,Clear,10.1,33.3
14.68,Morning,Low,Clear,8.4,25.3
3.33,Afternoon,Low,Rainy,9.2,14.5
15.76,Morning,Medium,Clear,4.1,26.9
24.76,Evening,Medium,Clear,17.9,48.6
4.36,Afternoon,High,Clear,9.5,23.7
13.44,Afternoon,Low,Clear,9.0,23.0
22.06,Morning,Medium,Clear,13.9,43.7
18.78,Morning,Medium,Clear,10.0,27.6
17.73,Afternoon,Medium,Clear,13.7,35.1
17.86,Afternoon,Medium,Clear,3.1,31.3
9.63,Evening,Low,Clear,16.6,22.7
8.05,Morning,Medium,Clear,18.9,21.1
20.42,Evening,Low,Clear,13.7,41.1
20.44,Night,Low,Clear,19.2,37.8
21.81,Evening,Low,Clear,4.7,38.3
22.92,Morning,Medium,Clear,10.6,44.2
13.27,Afternoon,High,Clear,12.8,43.3
13.04,Morning,Medium,Clear,12.5,26.9
20.16,Morning,Medium,Clear,9.2,39.0
16.6,Night,Medium,Clear,8.1,33.9
17.85,Morning,Medium,Clear,4.3,25.9
20.1,Afternoon,Low,Clear,9.1,37.4
22.36,Evening,Low,Clear,4.9,39.0
9.11,Evening,Low,Clear,15.2,25.8
10.01,Afternoon,Low,Rainy,5.8,22.6
3.26,Morning,Low,Rainy,3.1,15.4
14.88,Afternoon,Low,Clear,11.9,33.5
1.86,Afternoon,Low,Clear,12.7,9.9
12.17,Morning,High,Clear,17.7,36.4
14.02,Afternoon,Low,Clear,12.4,26.8
7.88,Morning,Low,Rainy,8.2,17.6
15.18,Morning,Low,Clear,16.5,31.8
1.73,Afternoon,Medium,Clear,11.7,11.3
1.9,Morning,Low,Rainy,3.4,13.4
20.74,Afternoon,Low,Clear,12.2,32.1
9.64,Evening,Medium,Clear,18.3,25.4
4.05,Evening,Low,Rainy,9.1,25.1
13.53,Morning,Low,Clear,7.3,21.4
19.48,Morning,Low,Clear,4.6,35.0
6.18,Morning,Low,Clear,4.7,10.4
15.95,Evening,Low,Clear,9.8,25.3
3.05,Evening,Low,Clear,12.7,15.1
2.24,Morning,Medium,Clear,3.5,7.6
13.75,Night,Medium,Rainy,18.9,48.4
13.98,Morning,Medium,Clear,15.6,30.7
16.3,Afternoon,Low,Clear,12.6,25.6
18.43,Evening,High,Clear,16.9,49.2
24.42,Night,Low,Clear,3.4,51.2
13.39,Evening,Low,Clear,10.6,28.7
8.75,Evening,Medium,Clear,13.3,25.9
20.08,Afternoon,Low,Clear,16.9,40.4
7.5,Evening,Low,Clear,16.1,20.7
11.54,Morning,Medium,Clear,7.0,25.0
2.88,Night,High,Clear,18.9,25.7
1.61,Afternoon,Low,Clear,4.2,6.4
24.1,Evening,Medium,Clear,17.8,53.6
21.06,Afternoon,High,Clear,19.5,48.9
17.7,Evening,Low,Clear,5.2,36.4
10.81,Afternoon,Low,Clear,15.0,22.4
5.16,Evening,Low,Clear,2.7,9.9
4.75,Morning,Low,Clear,9.3,12.9
7.01,Morning,Low,Clear,11.3,13.0
14.18,Morning,High,Clear,12.5,39.3
18.15,Morning,Medium,Clear,18.8,37.0
16.84,Night,Medium,Clear,14.1,41.3
7.72,Morning,Low,Clear,10.7,16.3
23.92,Night,Medium,Clear,16.6,53.7
18.71,Afternoon,High,Clear,19.1,41.8
14.3,Morning,Medium,Clear,2.4,23.8
15.68,Evening,Low,Clear,19.7,36.2
11.07,Evening,Medium,Clear,3.6,26.3
6.95,Afternoon,Low,Clear,16.7,15.9
9.54,Afternoon,Low,Clear,7.0,14.3
19.19,Evening,Low,Clear,4.4,30.9
1.35,Morning,Medium,Clear,9.9,5.0
3.79,Night,Medium,Clear,13.6,21.5
2.1,Night,Low,Rainy,8.9,19.0
1.98,Evening,Low,Clear,3.0,5.0
21.53,Morning,Low,Rainy,12.8,43.9
17.89,Evening,Low,Clear,18.2,37.4
12.38,Morning,Low,Clear,8.9,27.5
3.35,Morning,Low,Clear,5.9,5.0
12.8,Morning,Medium,Rainy,10.0,38.7
12.36,Afternoon,Low,Clear,2.9,24.3
5.16,Night,Low,Clear,16.8,17.4
11.41,Evening,Low,Clear,16.9,26.8
10.56,Evening,High,Clear,12.6,34.2
15.78,Afternoon,Medium,Clear,8.4,33.7
16.24,Afternoon,Medium,Clear,16.4,40.8
2.09,Afternoon,Low,Clear,12.0,10.6
9.99,Night,Medium,Clear,16.9,33.6
16.02,Morning,Low,Clear,13.4,26.8
13.08,Night,Medium,Clear,16.1,32.0
21.56,Afternoon,High,Clear,12.8,49.6
16.81,Afternoon,Medium,Rainy,9.5,46.7
4.91,Evening,High,Clear,19.2,24.5
2.69,Afternoon,Medium,Clear,11.7,11.4
16.42,Night,Low,Clear,12.9,35.9
1.64,Night,High,Clear,6.0,20.3
15.06,Afternoon,Low,Clear,13.3,26.2
23.57,Morning,Medium,Clear,12.3,42.8
14.81,Afternoon,Low,Clear,5.3,21.7
10.32,Night,Low,Clear,3.1,20.5
16.44,Morning,Low,Clear,12.9,30.6
12.0,Evening,Low,Clear,15.7,22.8
14.09,Evening,Low,Clear,11.4,23.8
23.6,Evening,Medium,Rainy,6.1,52.3
10.27,Morning,Low,Clear,14.0,21.8
24.07,Evening,Low,Clear,3.4,40.5
22.73,Night,Medium,Clear,10.0,47.7
5.7,Morning,Low,Clear,4.9,10.2
2.66,Morning,Medium,Clear,5.3,5.3
3.42,Night,Medium,Clear,5.6,20.3
1.44,Morning,Medium,Clear,9.0,11.0
3.27,Night,Medium,Clear,2.9,16.5
17.39,Afternoon,Low,Clear,9.2,33.9
2.71,Morning,Medium,Clear,11.2,9.0
8.66,Night,Low,Clear,10.7,26.6
21.28,Afternoon,Low,Clear,8.9,37.1
1.56,Afternoon,Medium,Clear,17.1,13.5
20.55,Afternoon,Low,Clear,4.6,34.1
7.76,Afternoon,Medium,Clear,11.1,21.6
3.84,Morning,Medium,Clear,3.1,15.4
17.72,Afternoon,High,Clear,3.3,38.3
16.09,Night,High,Clear,12.3,44.5
22.06,Morning,Low,Clear,12.2,39.9
18.64,Evening,Low,Clear,17.8,35.5
20.28,Afternoon,Medium,Rainy,12.0,51.7
7.77,Evening,Low,Clear,19.3,26.5
5.26,Morning,Medium,Clear,2.9,12.6
19.01,Night,Medium,Clear,3.8,43.7
20.36,Afternoon,Medium,Clear,2.8,34.9
24.77,Morning,Low,Clear,5.3,41.0
10.9,Morning,Low,Rainy,11.7,28.5
9.93,Morning,Low,Rainy,13.6,28.4
19.63,Afternoon,Low,Clear,2.8,30.3
9.18,Afternoon,High,Rainy,19.0,36.5
23.34,Evening,Low,Rainy,17.2,53.7
21.6,Afternoon,Low,Clear,7.3,30.4
11.3,Morning,Low,Clear,3.4,17.0
19.02,Evening,Medium,Clear,5.1,41.9
19.11,Evening,Medium,Clear,4.3,39.5
3.47,Morning,Low,Clear,4.2,12.3
22.66,Morning,Low,Clear,11.3,40.5
13.13,Morning,Low,Rainy,6.4,27.7
20.83,Evening,Low,Clear,8.4,37.8
8.68,Evening,Medium,Clear,19.8,27.8
22.49,Afternoon,Medium,Clear,14.3,40.3
10.34,Evening,Low,Rainy,19.1,30.4
1.26,Evening,Low,Rainy,4.6,13.6
22.73,Afternoon,High,Clear,8.9,44.7
3.19,Night,Low,Clear,12.0,15.5
8.66,Morning,Medium,Clear,3.4,18.3
23.8,Morning,Low,Clear,2.1,31.3
23.81,Morning,Low,Clear,14.1,41.2
14.76,Morning,Low,Clear,13.6,28.4
16.16,Afternoon,Medium,Clear,9.4,34.7
11.76,Night,High,Clear,10.8,38.9
8.04,Morning,Low,Clear,9.5,16.7
8.89,Morning,Low,Clear,2.4,16.1
17.14,Afternoon,Low,Clear,8.0,31.0
19.06,Night,Low,Clear,5.2,34.7
20.0,Afternoon,Low,Clear,3.8,34.0
19.95,Afternoon,Low,Clear,19.2,41.3
3.19,Morning,Medium,Clear,12.8,11.8
12.87,Morning,Low,Clear,15.1,30.1
2.38,Night,Low,Clear,7.7,11.3
14.19,Night,High,Clear,9.1,43.1
11.6,Morning,Low,Clear,6.3,17.3
22.3,Night,High,Clear,3.7,54.2
9.42,Evening,Low,Rainy,5.2,22.5
3.81,Night,High,Clear,16.4,28.0
4.43,Afternoon,Medium,Clear,14.2,14.6
19.28,Afternoon,Medium,Rainy,11.8,47.9
15.84,Afternoon,High,Clear,10.6,43.9
3.43,Evening,Low,Clear,18.6,16.7
3.02,Morning,High,Clear,3.3,10.4
17.82,Morning,Low,Clear,7.1,35.0
2.75,Afternoon,Low,Clear,8.3,9.5
20.72,Evening,Low,Clear,16.1,37.6
17.95,Morning,Medium,Rainy,19.9,46.4
2.95,Evening,Low,Rainy,6.3,18.8
3.04,Night,Medium,Clear,17.7,19.9
24.68,Morning,Medium,Clear,17.0,47.7
9.98,Evening,Medium,Clear,6.0,23.9
9.9,Afternoon,Medium,Rainy,9.2,31.4
20.51,Night,Low,Rainy,9.4,46.5
23.73,Morning,Low,Clear,19.6,37.2
24.66,Evening,Low,Clear,5.3,43.0
19.08,Evening,Low,Clear,16.4,39.3
10.03,Night,Low,Clear,8.0,26.0
3.0,Evening,Low,Clear,15.2,15.5
19.65,Afternoon,Low,Clear,9.6,35.3
14.4,Evening,High,Clear,12.4,39.7
11.18,Night,Medium,Clear,17.0,36.4
22.75,Afternoon,Low,Clear,16.5,37.0
3.67,Morning,Medium,Rainy,17.6,21.1
12.82,Night,Low,Clear,3.1,24.3
1.27,Evening,Low,Clear,14.5,13.5
12.25,Evening,Medium,Clear,4.5,31.6
2.35,Morning,Low,Clear,9.5,7.8
3.85,Evening,Low,Clear,11.9,16.6
3.82,Afternoon,High,Clear,9.2,19.9
16.58,Evening,High,Clear,11.4,45.3
18.91,Morning,Medium,Clear,19.9,39.0
15.0,Evening,Medium,Clear,4.4,35.4
24.09,Night,Medium,Clear,14.2,52.0
10.0,Morning,Low,Clear,9.1,16.6
7.86,Night,Low,Clear,4.4,21.7
21.85,Afternoon,Low,Clear,4.9,38.9
6.37,Night,Low,Clear,19.1,20.3
24.12,Evening,Medium,Clear,17.8,50.3
1.29,Afternoon,Low,Clear,18.3,6.2
24.28,Evening,High,Clear,19.8,50.9
2.04,Night,High,Clear,5.7,24.4
22.39,Afternoon,Medium,Clear,8.4,44.9
13.66,Afternoon,Medium,Clear,14.0,32.5
24.83,Evening,High,Clear,10.7,50.6
2.77,Evening,Low,Rainy,9.5,18.0
14.29,Evening,Medium,Clear,8.4,26.3
24.26,Evening,Low,Clear,12.7,48.3
13.55,Afternoon,Medium,Clear,12.4,27.8
16.11,Evening,Low,Clear,4.9,33.4
17.7,Morning,High,Clear,10.5,44.5
11.91,Afternoon,High,Clear,12.0,32.8
16.06,Morning,Low,Rainy,12.3,32.4
15.02,Afternoon,Low,Clear,5.8,27.3
22.63,Afternoon,High,Clear,15.4,50.0
2.09,Afternoon,Low,Clear,2.5,6.2
7.74,Evening,High,Clear,8.4,28.7
23.81,Afternoon,Medium,Clear,16.0,42.2
22.37,Afternoon,Low,Clear,12.2,32.5
11.94,Morning,Low,Clear,6.7,20.6
15.88,Afternoon,Low,Clear,14.5,28.5
7.66,Morning,Medium,Rainy,12.2,26.5
5.51,Morning,Low,Rainy,16.3,23.2
12.13,Evening,Medium,Clear,15.2,35.3
9.48,Evening,Low,Clear,13.0,21.3
15.01,Evening,Medium,Rainy,10.8,41.7
2.87,Afternoon,High,Rainy,4.4,29.1
24.39,Afternoon,High,Clear,6.7,48.5
24.67,Night,Low,Clear,9.5,47.5
17.76,Afternoon,Medium,Clear,12.8,39.1
13.87,Afternoon,Medium,Clear,11.2,33.2
8.43,Morning,Medium,Rainy,7.2,22.0
20.53,Afternoon,High,Clear,2.1,43.1
17.43,Afternoon,Low,Rainy,10.9,36.8
4.9,Afternoon,Low,Clear,7.1,11.8
22.86,Afternoon,High,Rainy,15.2,62.3
20.74,Afternoon,Low,Clear,2.4,38.3
23.8,Evening,Medium,Clear,12.5,47.0
18.42,Evening,High,Clear,18.9,47.8
15.72,Evening,Low,Clear,5.1,32.6
11.04,Evening,High,Clear,10.5,36.6
23.39,Night,Low,Rainy,3.6,55.0
21.79,Morning,Medium,Clear,13.3,42.5
2.09,Morning,Medium,Rainy,11.9,16.2
1.63,Morning,High,Rainy,9.3,21.2
10.04,Evening,Low,Clear,11.4,17.8
20.45,Night,Low,Clear,18.1,45.1
24.69,Morning,Medium,Clear,5.5,47.3
4.61,Night,Medium,Clear,2.4,25.2
15.26,Morning,Medium,Clear,17.5,35.7
10.14,Night,Low,Clear,12.4,29.4
24.28,Afternoon,Low,Clear,18.0,42.1
21.21,Morning,Low,Clear,12.7,32.2
21.12,Afternoon,Medium,Clear,16.6,46.2
12.25,Morning,Low,Clear,9.7,22.5
10.96,Morning,Low,Rainy,15.5,29.4
7.56,Afternoon,High,Clear,18.4,32.0
2.35,Evening,Low,Rainy,12.3,20.2
21.75,Afternoon,High,Clear,5.3,52.1
20.51,Afternoon,Medium,Clear,6.8,43.7
24.99,Evening,Medium,Clear,5.6,49.8
24.92,Evening,Low,Clear,6.4,45.8
14.33,Morning,Low,Clear,7.5,25.3
19.46,Afternoon,Medium,Clear,12.0,38.4
23.67,Morning,Medium,Clear,12.6,46.6
21.39,Morning,Medium,Clear,9.7,35.8
6.94,Evening,Low,Clear,13.1,21.5
11.81,Morning,Medium,Clear,3.5,20.2
4.1,Afternoon,Medium,Clear,3.6,15.1
23.9,Evening,Medium,Clear,5.1,43.8
15.55,Morning,Medium,Clear,11.3,33.4
6.49,Afternoon,Medium,Clear,5.9,18.4
17.12,Morning,Medium,Clear,7.1,28.0
15.84,Night,Low,Rainy,9.2,42.8
9.6,Afternoon,Low,Clear,16.6,19.6
3.73,Evening,Low,Clear,2.2,12.9
17.12,Afternoon,Low,Clear,13.7,31.8
13.49,Morning,Low,Clear,14.0,25.6
19.54,Evening,Low,Clear,16.4,35.4
13.48,Night,Low,Clear,18.8,31.1
21.45,Evening,Low,Clear,2.4,35.5
14.25,Evening,Medium,Clear,4.8,34.4
14.46,Night,High,Clear,18.0,51.1
22.04,Morning,Low,Clear,10.3,33.7
10.68,Morning,High,Clear,12.2,34.9
4.22,Evening,Medium,Clear,13.9,13.0
1.69,Afternoon,Low,Clear,14.2,5.2
19.12,Evening,Low,Clear,18.8,35.4
15.89,Night,Medium,Clear,19.9,37.7
17.9,Afternoon,Medium,Clear,15.0,33.6
6.11,Morning,Medium,Clear,7.2,17.6
4.27,Evening,Low,Clear,17.8,15.1
1.35,Morning,Low,Clear,2.9,5.0
9.41,Evening,Low,Clear,6.2,22.0
15.16,Afternoon,Low,Clear,18.2,31.0
10.41,Evening,Low,Clear,6.6,23.6
11.5,Morning,Low,Clear,6.0,18.8
22.7,Evening,Medium,Clear,4.5,40.8
9.36,Afternoon,High,Rainy,17.5,44.5
13.34,Afternoon,Low,Clear,11.0,23.5
19.81,Morning,High,Clear,14.1,43.1
10.52,Evening,Low,Clear,6.3,21.1
15.93,Night,Low,Rainy,15.6,40.8
21.7,Morning,Low,Rainy,15.7,44.0
23.79,Morning,Medium,Clear,7.6,44.0
4.53,Morning,High,Clear,9.4,22.7
23.24,Evening,Medium,Clear,5.8,42.9
12.81,Evening,Low,Clear,19.6,27.6
7.2,Afternoon,Medium,Clear,13.6,25.1
12.02,Morning,Low,Clear,18.8,25.2
24.52,Afternoon,High,Clear,7.5,59.3
12.82,Afternoon,Medium,Clear,16.1,34.6
8.89,Afternoon,Low,Rainy,15.8,31.5
16.2,Night,Medium,Clear,14.4,36.5
6.76,Morning,Medium,Clear,19.4,23.3
2.82,Evening,Low,Clear,9.1,10.8
4.09,Afternoon,Medium,Clear,4.4,12.8
